,Country,Region,Year,Rank,Score,Economy,Family,Health,Freedom,Generosity,Corruption
129,Georgia,Central and Eastern Europe,2015,130,4.297,0.7419,0.38562,0.72926,0.40577,0.05547,0.38331
125,Georgia,Central and Eastern Europe,2016,126,4.252,0.83792,0.19249,0.64035,0.32461,0.06786,0.3188
124,Georgia,Central and Eastern Europe,2017,125,4.28599977493286,0.950612664222717,0.57061493396759,0.649546980857849,0.309410035610199,0.0540088154375553,0.251666635274887
127,Georgia,Central and Eastern Europe,2018,128,4.34,0.853,0.592,0.643,0.375,0.038,0.215
118,Georgia,Central and Eastern Europe,2019,119,4.519,0.886,0.666,0.752,0.346,0.043,0.164
25,Germany,Western Europe,2015,26,6.75,1.32792,1.29937,0.89186,0.61477,0.28214,0.21843
15,Germany,Western Europe,2016,16,6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551
15,Germany,Western Europe,2017,16,6.95100021362305,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,0.336269170045853,0.276731938123703
14,Germany,Western Europe,2018,15,6.965,1.34,1.474,0.861,0.586,0.273,0.28
16,Germany,Western Europe,2019,17,6.985,1.373,1.454,0.987,0.495,0.261,0.265
113,Ghana,Sub-Saharan Africa,2015,114,4.633,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355
123,Ghana,Sub-Saharan Africa,2016,124,4.276,0.63107,0.49353,0.29681,0.40973,0.21203,0.0326
130,Ghana,Sub-Saharan Africa,2017,131,4.11999988555908,0.667224824428558,0.873664736747742,0.295637726783752,0.423026293516159,0.256923943758011,0.0253363698720932
107,Ghana,Sub-Saharan Africa,2018,108,4.657,0.592,0.896,0.337,0.499,0.212,0.029
97,Ghana,Sub-Saharan Africa,2019,98,4.996,0.611,0.868,0.486,0.381,0.245,0.04
101,Greece,Western Europe,2015,102,4.857,1.15406,0.92933,0.88213,0.07699,0.0,0.01397
98,Greece,Western Europe,2016,99,5.033,1.24886,0.75473,0.80029,0.05822,0.0,0.04127
86,Greece,Western Europe,2017,87,5.22700023651123,1.28948748111725,1.23941457271576,0.810198903083801,0.0957312509417534,0.0,0.04328977689147
78,Greece,Western Europe,2018,79,5.358,1.154,1.202,0.879,0.131,0.0,0.044
81,Greece,Western Europe,2019,82,5.287,1.181,1.156,0.999,0.067,0.0,0.034
42,Guatemala,Latin America and Caribbean,2015,43,6.123,0.74553,1.04356,0.64425,0.57733,0.27489,0.09472
38,Guatemala,Latin America and Caribbean,2016,39,6.324,0.83454,0.87119,0.54039,0.50379,0.28808,0.08701
28,Guatemala,Latin America and Caribbean,2017,29,6.4539999961853,0.872001945972443,1.25558519363403,0.540239989757538,0.531310617923737,0.283488392829895,0.0772232785820961
29,Guatemala,Latin America and Caribbean,2018,30,6.382,0.781,1.268,0.608,0.604,0.179,0.071
26,Guatemala,Latin America and Caribbean,2019,27,6.436,0.8,1.269,0.746,0.535,0.175,0.078
149,Guinea,Sub-Saharan Africa,2015,150,3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139
150,Guinea,Sub-Saharan Africa,2016,151,3.607,0.22415,0.3109,0.18829,0.30953,0.29914,0.1192
148,Guinea,Sub-Saharan Africa,2017,149,3.50699996948242,0.244549930095673,0.791244685649872,0.194129139184952,0.348587512969971,0.264815092086792,0.110937617719173
139,Guinea,Sub-Saharan Africa,2018,140,3.964,0.344,0.792,0.211,0.394,0.185,0.094
117,Guinea,Sub-Saharan Africa,2019,118,4.534,0.38,0.829,0.375,0.332,0.207,0.086
118,Haiti,Latin America and Caribbean,2015,119,4.518,0.26673,0.74302,0.38847,0.24425,0.46187,0.17175
135,Haiti,Latin America and Caribbean,2016,136,4.028,0.34097,0.29561,0.27494,0.12072,0.47958,0.14476
144,Haiti,Latin America and Caribbean,2017,145,3.6029999256134,0.368610262870789,0.640449821949005,0.277321130037308,0.0303698573261499,0.489203780889511,0.0998721495270729
147,Haiti,Latin America and Caribbean,2018,148,3.582,0.315,0.714,0.289,0.025,0.392,0.104
146,Haiti,Latin America and Caribbean,2019,147,3.597,0.323,0.688,0.449,0.026,0.419,0.11
104,Honduras,Latin America and Caribbean,2015,105,4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825
103,Honduras,Latin America and Caribbean,2016,104,4.871,0.69429,0.75596,0.58383,0.26755,0.2044,0.06906
90,Honduras,Latin America and Caribbean,2017,91,5.18100023269653,0.730573117733002,1.14394497871399,0.582569479942322,0.348079860210419,0.236188873648643,0.0733454525470734
71,Honduras,Latin America and Caribbean,2018,72,5.504,0.62,1.205,0.622,0.459,0.197,0.074
58,Honduras,Latin America and Caribbean,2019,59,5.86,0.642,1.236,0.828,0.507,0.246,0.078
71,Hong Kong,Eastern Asia,2015,72,5.474,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124
74,Hong Kong,Eastern Asia,2016,75,5.458,1.5107,0.87021,0.95277,0.48079,0.40097,0.31647
75,Hong Kong,Eastern Asia,2018,76,5.43,1.405,1.29,1.03,0.524,0.246,0.291
75,Hong Kong,Eastern Asia,2019,76,5.43,1.438,1.277,1.122,0.44,0.258,0.287
70,"Hong Kong S.A.R., China",Eastern  Asia,2017,71,5.47200012207031,1.55167484283447,1.26279091835022,0.943062424659729,0.490968644618988,0.374465793371201,0.293933749198914
103,Hungary,Central and Eastern Europe,2015,104,4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758
90,Hungary,Central and Eastern Europe,2016,91,5.145,1.24142,0.93164,0.67608,0.1977,0.099,0.04472
74,Hungary,Central and Eastern Europe,2017,75,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0784016624093056,0.0366369374096394
68,Hungary,Central and Eastern Europe,2018,69,5.62,1.171,1.401,0.732,0.259,0.061,0.022
61,Hungary,Central and Eastern Europe,2019,62,5.758,1.201,1.41,0.828,0.199,0.081,0.02
1,Iceland,Western Europe,2015,2,7.561,1.30232,1.40223,0.94784,0.62877,0.4363,0.14145
2,Iceland,Western Europe,2016,3,7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975
2,Iceland,Western Europe,2017,3,7.50400018692017,1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,0.475540220737457,0.153526559472084
3,Iceland,Western Europe,2018,4,7.495,1.343,1.644,0.914,0.677,0.353,0.138
3,Iceland,Western Europe,2019,4,7.494,1.38,1.624,1.026,0.591,0.354,0.118
116,India,Southern Asia,2015,117,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492
117,India,Southern Asia,2016,118,4.404,0.74036,0.29247,0.45091,0.40285,0.25028,0.08722
121,India,Southern Asia,2017,122,4.31500005722046,0.792221248149872,0.754372596740723,0.455427616834641,0.469987004995346,0.231538489460945,0.0922268852591515
132,India,Southern Asia,2018,133,4.19,0.721,0.747,0.485,0.539,0.172,0.093
139,India,Southern Asia,2019,140,4.015,0.755,0.765,0.588,0.498,0.2,0.085
73,Indonesia,Southeastern Asia,2015,74,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0.0
78,Indonesia,Southeastern Asia,2016,79,5.314,0.95104,0.87625,0.49374,0.39237,0.56521,0.00322
80,Indonesia,Southeastern Asia,2017,81,5.26200008392334,0.995538592338562,1.27444469928741,0.492345720529556,0.443323463201523,0.611704587936401,0.0153171354904771
95,Indonesia,Southeastern Asia,2018,96,5.093,0.899,1.215,0.522,0.538,0.484,0.018
91,Indonesia,Southeastern Asia,2019,92,5.192,0.931,1.203,0.66,0.491,0.498,0.028
109,Iran,Middle East and Northern Africa,2015,110,4.686,1.0088,0.54447,0.69805,0.30033,0.38086,0.05863
104,Iran,Middle East and Northern Africa,2016,105,4.813,1.11758,0.38857,0.64232,0.22544,0.38538,0.0557
107,Iran,Middle East and Northern Africa,2017,108,4.69199991226196,1.15687310695648,0.711551249027252,0.639333188533783,0.249322608113289,0.387242913246155,0.048761073499918
105,Iran,Middle East and Northern Africa,2018,106,4.707,1.059,0.771,0.691,0.459,0.282,0.129
116,Iran,Middle East and Northern Africa,2019,117,4.548,1.1,0.842,0.785,0.305,0.27,0.125
111,Iraq,Middle East and Northern Africa,2015,112,4.677,0.98549,0.81889,0.60237,0.0,0.17922,0.13788
111,Iraq,Middle East and Northern Africa,2016,112,4.575,1.07474,0.59205,0.51076,0.24856,0.19589,0.13636
116,Iraq,Middle East and Northern Africa,2017,117,4.49700021743774,1.10271048545837,0.978613197803497,0.501180469989777,0.288555532693863,0.19963726401329,0.107215754687786
116,Iraq,Middle East and Northern Africa,2018,117,4.456,1.01,0.971,0.536,0.304,0.148,0.095
125,Iraq,Middle East and Northern Africa,2019,126,4.437,1.043,0.98,0.574,0.241,0.148,0.089
17,Ireland,Western Europe,2015,18,6.94,1.33596,1.36948,0.89533,0.61777,0.45901,0.28703
18,Ireland,Western Europe,2016,19,6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754
14,Ireland,Western Europe,2017,15,6.97700023651123,1.53570663928986,1.55823111534119,0.80978262424469,0.573110342025757,0.42785832285881,0.29838815331459
13,Ireland,Western Europe,2018,14,6.977,1.448,1.583,0.876,0.614,0.307,0.306
15,Ireland,Western Europe,2019,16,7.021,1.499,1.553,0.999,0.516,0.298,0.31
10,Israel,Middle East and Northern Africa,2015,11,7.278,1.22857,1.22393,0.91387,0.41319,0.33172,0.07785
10,Israel,Middle East and Northern Africa,2016,11,7.267,1.33766,0.99537,0.84917,0.36432,0.32288,0.08728
10,Israel,Middle East and Northern Africa,2017,11,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.330082654953003,0.0852421000599861
18,Israel,Middle East and Northern Africa,2018,19,6.814,1.301,1.559,0.883,0.533,0.354,0.272
12,Israel,Middle East and Northern Africa,2019,13,7.139,1.276,1.455,1.029,0.371,0.261,0.082
49,Italy,Western Europe,2015,50,5.948,1.25114,1.19777,0.95446,0.26236,0.22823,0.02901
49,Italy,Western Europe,2016,50,5.977,1.35495,1.04167,0.85102,0.18827,0.16684,0.02556
47,Italy,Western Europe,2017,48,5.96400022506714,1.39506661891937,1.44492328166962,0.853144347667694,0.256450712680817,0.17278964817524,0.0280280914157629
46,Italy,Western Europe,2018,47,6.0,1.264,1.501,0.946,0.281,0.137,0.028
35,Italy,Western Europe,2019,36,6.223,1.294,1.488,1.039,0.231,0.158,0.03
150,Ivory Coast,Sub-Saharan Africa,2015,151,3.655,0.46534,0.77115,0.15185,0.46866,0.20165,0.17922
138,Ivory Coast,Sub-Saharan Africa,2016,139,3.916,0.55507,0.57576,0.04476,0.40663,0.20338,0.1553
127,Ivory Coast,Sub-Saharan Africa,2017,128,4.17999982833862,0.603048920631409,0.904780030250549,0.0486421696841717,0.447706192731857,0.201237469911575,0.130061775445938
106,Ivory Coast,Sub-Saharan Africa,2018,107,4.671,0.541,0.872,0.08,0.467,0.146,0.103
98,Ivory Coast,Sub-Saharan Africa,2019,99,4.944,0.569,0.808,0.232,0.352,0.154,0.09
64,Jamaica,Latin America and Caribbean,2015,65,5.709,0.81038,1.15102,0.68741,0.50442,0.2123,0.02299
72,Jamaica,Latin America and Caribbean,2016,73,5.51,0.89333,0.96372,0.59469,0.43597,0.22245,0.04294
75,Jamaica,Latin America and Caribbean,2017,76,5.31099987030029,0.925579309463501,1.36821806430817,0.641022384166718,0.474307239055634,0.233818337321281,0.0552677810192108
55,Jamaica,Latin America and Caribbean,2018,56,5.89,0.819,1.493,0.693,0.575,0.096,0.031
55,Jamaica,Latin America and Caribbean,2019,56,5.89,0.831,1.478,0.831,0.49,0.107,0.028
45,Japan,Eastern Asia,2015,46,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806
52,Japan,Eastern Asia,2016,53,5.921,1.38007,1.06054,0.91491,0.46761,0.10224,0.18985
50,Japan,Eastern Asia,2017,51,5.92000007629395,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.12057276815176,0.163760736584663
53,Japan,Eastern Asia,2018,54,5.915,1.294,1.462,0.988,0.553,0.079,0.15
57,Japan,Eastern Asia,2019,58,5.886,1.327,1.419,1.088,0.445,0.069,0.14
81,Jordan,Middle East and Northern Africa,2015,82,5.192,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293
79,Jordan,Middle East and Northern Africa,2016,80,5.303,0.99673,0.86216,0.60712,0.36023,0.14262,0.13297
73,Jordan,Middle East and Northern Africa,2017,74,5.33599996566772,0.991012394428253,1.23908889293671,0.604590058326721,0.418421149253845,0.172170460224152,0.11980327218771
89,Jordan,Middle East and Northern Africa,2018,90,5.161,0.822,1.265,0.645,0.468,0.13,0.134
100,Jordan,Middle East and Northern Africa,2019,101,4.906,0.837,1.225,0.815,0.383,0.11,0.13
53,Kazakhstan,Central and Eastern Europe,2015,54,5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454
53,Kazakhstan,Central and Eastern Europe,2016,54,5.919,1.22943,0.95544,0.57386,0.4052,0.15011,0.11132
59,Kazakhstan,Central and Eastern Europe,2017,60,5.81899976730347,1.28455626964569,1.38436901569366,0.606041550636292,0.437454283237457,0.201964423060417,0.119282886385918
59,Kazakhstan,Central and Eastern Europe,2018,60,5.79,1.143,1.516,0.631,0.454,0.148,0.121
59,Kazakhstan,Central and Eastern Europe,2019,60,5.809,1.173,1.508,0.729,0.41,0.146,0.096
124,Kenya,Sub-Saharan Africa,2015,125,4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839
121,Kenya,Sub-Saharan Africa,2016,122,4.356,0.52267,0.7624,0.30147,0.40576,0.41328,0.06686
111,Kenya,Sub-Saharan Africa,2017,112,4.55299997329712,0.560479462146759,1.06795072555542,0.309988349676132,0.452763766050339,0.444860309362411,0.0646413192152977
123,Kenya,Sub-Saharan Africa,2018,124,4.41,0.493,1.048,0.454,0.504,0.352,0.055
120,Kenya,Sub-Saharan Africa,2019,121,4.509,0.512,0.983,0.581,0.431,0.372,0.053
68,Kosovo,Central and Eastern Europe,2015,69,5.589,0.80148,0.81198,0.63132,0.24749,0.2831,0.04741
76,Kosovo,Central and Eastern Europe,2016,77,5.401,0.90145,0.66062,0.54,0.14396,0.27992,0.06547
77,Kosovo,Central and Eastern Europe,2017,78,5.27899980545044,0.951484382152557,1.13785350322723,0.541452050209045,0.260287940502167,0.319931447505951,0.0574716180562973
65,Kosovo,Central and Eastern Europe,2018,66,5.662,0.855,1.23,0.578,0.448,0.274,0.023
45,Kosovo,Central and Eastern Europe,2019,46,6.1,0.882,1.232,0.758,0.489,0.262,0.006
38,Kuwait,Middle East and Northern Africa,2015,39,6.295,1.55422,1.16594,0.72492,0.55499,0.16228,0.25609
40,Kuwait,Middle East and Northern Africa,2016,41,6.239,1.61714,0.87758,0.63569,0.43166,0.15965,0.23669
38,Kuwait,Middle East and Northern Africa,2017,39,6.10500001907349,1.63295245170593,1.25969874858856,0.632105708122253,0.496337592601776,0.228289797902107,0.215159550309181
44,Kuwait,Middle East and Northern Africa,2018,45,6.083,1.474,1.301,0.675,0.554,0.167,0.106
50,Kuwait,Middle East and Northern Africa,2019,51,6.021,1.5,1.319,0.808,0.493,0.142,0.097
76,Kyrgyzstan,Central and Eastern Europe,2015,77,5.286,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232
84,Kyrgyzstan,Central and Eastern Europe,2016,85,5.185,0.56044,0.95434,0.55449,0.40212,0.38432,0.04762
97,Kyrgyzstan,Central and Eastern Europe,2017,98,5.00400018692017,0.596220076084137,1.39423859119415,0.553457796573639,0.454943388700485,0.42858037352562,0.0394391790032387
91,Kyrgyzstan,Central and Eastern Europe,2018,92,5.131,0.53,1.416,0.594,0.54,0.281,0.035
85,Kyrgyzstan,Central and Eastern Europe,2019,86,5.261,0.551,1.438,0.723,0.508,0.3,0.023
98,Laos,Southeastern Asia,2015,99,4.876,0.59066,0.73803,0.54909,0.59591,0.42192,0.24249
101,Laos,Southeastern Asia,2016,102,4.876,0.68042,0.5497,0.38291,0.52168,0.43079,0.22423
109,Laos,Southeastern Asia,2018,110,4.623,0.72,1.034,0.441,0.626,0.23,0.174
104,Laos,Southeastern Asia,2019,105,4.796,0.764,1.03,0.551,0.547,0.266,0.164
88,Latvia,Central and Eastern Europe,2015,89,5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332
67,Latvia,Central and Eastern Europe,2016,68,5.56,1.21788,0.95025,0.63952,0.27996,0.17445,0.0889
53,Latvia,Central and Eastern Europe,2017,54,5.84999990463257,1.26074862480164,1.40471494197845,0.638566970825195,0.325707912445068,0.153074786067009,0.0738427266478539
52,Latvia,Central and Eastern Europe,2018,53,5.933,1.148,1.454,0.671,0.363,0.092,0.066
52,Latvia,Central and Eastern Europe,2019,53,5.94,1.187,1.465,0.812,0.264,0.075,0.064
102,Lebanon,Middle East and Northern Africa,2015,103,4.839,1.02564,0.80001,0.83947,0.33916,0.21854,0.04582
92,Lebanon,Middle East and Northern Africa,2016,93,5.129,1.12268,0.64184,0.76171,0.26228,0.23693,0.03061
87,Lebanon,Middle East and Northern Africa,2017,88,5.22499990463257,1.07498753070831,1.12962424755096,0.735081076622009,0.288515985012054,0.264450758695602,0.037513829767704
79,Lebanon,Middle East and Northern Africa,2018,80,5.358,0.965,1.179,0.785,0.503,0.214,0.136
90,Lebanon,Middle East and Northern Africa,2019,91,5.197,0.987,1.224,0.815,0.216,0.166,0.027
96,Lesotho,Sub-Saharan Africa,2015,97,4.898,0.37545,1.04103,0.07612,0.31767,0.16388,0.12504
138,Lesotho,Sub-Saharan Africa,2017,139,3.80800008773804,0.521021246910095,1.19009518623352,0.0,0.390661299228668,0.157497271895409,0.119094640016556
140,Lesotho,Sub-Saharan Africa,2018,141,3.808,0.472,1.215,0.079,0.423,0.116,0.112
143,Lesotho,Sub-Saharan Africa,2019,144,3.802,0.489,1.169,0.168,0.359,0.107,0.093
115,Liberia,Sub-Saharan Africa,2015,116,4.571,0.0712,0.78968,0.34201,0.28531,0.24362,0.06232
149,Liberia,Sub-Saharan Africa,2016,150,3.622,0.10706,0.50353,0.23165,0.25748,0.24063,0.04852
147,Liberia,Sub-Saharan Africa,2017,148,3.53299999237061,0.119041793048382,0.872117936611176,0.229918196797371,0.332881182432175,0.26654988527298,0.0389482490718365
148,Liberia,Sub-Saharan Africa,2018,149,3.495,0.076,0.858,0.267,0.419,0.206,0.03
140,Liberia,Sub-Saharan Africa,2019,141,3.975,0.073,0.922,0.443,0.37,0.233,0.033
62,Libya,Middle East and Northern Africa,2015,63,5.754,1.13145,1.11862,0.7038,0.41668,0.18295,0.11023
66,Libya,Middle East and Northern Africa,2016,67,5.615,1.06688,0.95076,0.52304,0.40672,0.17087,0.10339
67,Libya,Middle East and Northern Africa,2017,68,5.52500009536743,1.10180306434631,1.35756433010101,0.520169019699097,0.465733230113983,0.152073666453362,0.0926102101802826
69,Libya,Middle East and Northern Africa,2018,70,5.566,0.985,1.35,0.553,0.496,0.116,0.148
71,Libya,Middle East and Northern Africa,2019,72,5.525,1.044,1.303,0.673,0.416,0.133,0.152
55,Lithuania,Central and Eastern Europe,2015,56,5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031
59,Lithuania,Central and Eastern Europe,2016,60,5.813,1.2692,1.06411,0.64674,0.18929,0.02025,0.0182
51,Lithuania,Central and Eastern Europe,2017,52,5.90199995040894,1.31458234786987,1.47351610660553,0.62894994020462,0.234231784939766,0.010164656676352,0.0118656428530812
49,Lithuania,Central and Eastern Europe,2018,50,5.952,1.197,1.527,0.716,0.35,0.026,0.006
41,Lithuania,Central and Eastern Europe,2019,42,6.149,1.238,1.515,0.818,0.291,0.043,0.042
16,Luxembourg,Western Europe,2015,17,6.946,1.56391,1.21963,0.91894,0.61583,0.28034,0.37798
19,Luxembourg,Western Europe,2016,20,6.871,1.69752,1.03999,0.84542,0.5487,0.27571,0.35329
17,Luxembourg,Western Europe,2017,18,6.86299991607666,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,0.283180981874466,0.31883442401886
16,Luxembourg,Western Europe,2018,17,6.91,1.576,1.52,0.896,0.632,0.196,0.321
13,Luxembourg,Western Europe,2019,14,7.09,1.609,1.479,1.012,0.526,0.194,0.316
92,Macedonia,Central and Eastern Europe,2015,93,5.007,0.91851,1.00232,0.73545,0.33457,0.22359,0.05327
94,Macedonia,Central and Eastern Europe,2016,95,5.121,1.0193,0.78236,0.64738,0.27668,0.23507,0.07047
91,Macedonia,Central and Eastern Europe,2017,92,5.17500019073486,1.06457793712616,1.20789301395416,0.644948184490204,0.325905978679657,0.25376096367836,0.0602777935564518
88,Macedonia,Central and Eastern Europe,2018,89,5.185,0.959,1.239,0.691,0.394,0.173,0.052
146,Madagascar,Sub-Saharan Africa,2015,147,3.681,0.20824,0.66801,0.46721,0.19184,0.21333,0.08124
147,Madagascar,Sub-Saharan Africa,2016,148,3.695,0.27954,0.46115,0.37109,0.13684,0.2204,0.07506
143,Madagascar,Sub-Saharan Africa,2017,144,3.64400005340576,0.305808693170547,0.913020372390747,0.375223308801651,0.189196765422821,0.208732530474663,0.0672319754958153
142,Madagascar,Sub-Saharan Africa,2018,143,3.774,0.262,0.908,0.402,0.221,0.155,0.049
142,Madagascar,Sub-Saharan Africa,2019,143,3.933,0.274,0.916,0.555,0.148,0.169,0.041
130,Malawi,Sub-Saharan Africa,2015,131,4.292,0.01604,0.41134,0.22562,0.43054,0.33128,0.06977
131,Malawi,Sub-Saharan Africa,2016,132,4.156,0.08709,0.147,0.29364,0.4143,0.30968,0.07564
135,Malawi,Sub-Saharan Africa,2017,136,3.97000002861023,0.233442038297653,0.512568831443787,0.315089583396912,0.466914653778076,0.287170469760895,0.0727116540074348
146,Malawi,Sub-Saharan Africa,2018,147,3.587,0.186,0.541,0.306,0.531,0.21,0.08
149,Malawi,Sub-Saharan Africa,2019,150,3.41,0.191,0.56,0.495,0.443,0.218,0.089
60,Malaysia,Southeastern Asia,2015,61,5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501
46,Malaysia,Southeastern Asia,2016,47,6.005,1.25142,0.88025,0.62366,0.39031,0.41474,0.09081
41,Malaysia,Southeastern Asia,2017,42,6.08400011062622,1.29121541976929,1.28464603424072,0.618784427642822,0.402264982461929,0.416608929634094,0.0656007081270218
34,Malaysia,Southeastern Asia,2018,35,6.322,1.161,1.258,0.669,0.356,0.311,0.059
79,Malaysia,Southeastern Asia,2019,80,5.339,1.221,1.171,0.828,0.508,0.26,0.024
137,Mali,Sub-Saharan Africa,2015,138,3.995,0.26074,1.03526,0.20583,0.38857,0.18798,0.12352
134,Mali,Sub-Saharan Africa,2016,135,4.073,0.31292,0.86333,0.16347,0.27544,0.21064,0.13647
126,Mali,Sub-Saharan Africa,2017,127,4.19000005722046,0.476180493831635,1.28147339820862,0.169365674257278,0.306613743305206,0.183354198932648,0.104970246553421
117,Mali,Sub-Saharan Africa,2018,118,4.447,0.37,1.233,0.152,0.367,0.139,0.056
127,Mali,Sub-Saharan Africa,2019,128,4.39,0.385,1.105,0.308,0.327,0.153,0.052
36,Malta,Western Europe,2015,37,6.302,1.2074,1.30203,0.88721,0.60365,0.51752,0.13586
29,Malta,Western Europe,2016,30,6.488,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554
26,Malta,Western Europe,2017,27,6.52699995040894,1.34327983856201,1.48841166496277,0.821944236755371,0.588767051696777,0.574730575084686,0.153066068887711
21,Malta,Western Europe,2018,22,6.627,1.27,1.525,0.884,0.645,0.376,0.142
21,Malta,Western Europe,2019,22,6.726,1.3,1.52,0.999,0.564,0.375,0.151
123,Mauritania,Sub-Saharan Africa,2015,124,4.436,0.45407,0.86908,0.35874,0.24232,0.219,0.17461
129,Mauritania,Sub-Saharan Africa,2016,130,4.201,0.61391,0.84142,0.28639,0.1268,0.22686,0.17955
122,Mauritania,Sub-Saharan Africa,2017,123,4.29199981689453,0.648457288742065,1.2720308303833,0.285349279642105,0.0960980430245399,0.201870024204254,0.136957004666328
125,Mauritania,Sub-Saharan Africa,2018,126,4.356,0.557,1.245,0.292,0.129,0.134,0.093
121,Mauritania,Sub-Saharan Africa,2019,122,4.49,0.57,1.167,0.489,0.066,0.106,0.088
70,Mauritius,Sub-Saharan Africa,2015,71,5.477,1.00761,0.98521,0.7095,0.56066,0.37744,0.07521
65,Mauritius,Sub-Saharan Africa,2016,66,5.648,1.14372,0.75695,0.66189,0.46145,0.36951,0.05203
63,Mauritius,Sub-Saharan Africa,2017,64,5.62900018692017,1.18939554691315,1.20956099033356,0.638007462024689,0.491247326135635,0.360933750867844,0.0421815551817417
54,Mauritius,Sub-Saharan Africa,2018,55,5.891,1.09,1.387,0.684,0.584,0.245,0.05
56,Mauritius,Sub-Saharan Africa,2019,57,5.888,1.12,1.402,0.798,0.498,0.215,0.06
13,Mexico,Latin America and Caribbean,2015,14,7.187,1.02054,0.91451,0.81444,0.48181,0.14074,0.21312
20,Mexico,Latin America and Caribbean,2016,21,6.778,1.11508,0.7146,0.71143,0.37709,0.11735,0.18355
24,Mexico,Latin America and Caribbean,2017,25,6.57800006866455,1.15318381786346,1.210862159729,0.709978997707367,0.412730008363724,0.120990432798862,0.132774114608765
23,Mexico,Latin America and Caribbean,2018,24,6.488,1.038,1.252,0.761,0.479,0.069,0.095
22,Mexico,Latin America and Caribbean,2019,23,6.595,1.07,1.323,0.861,0.433,0.074,0.073
51,Moldova,Central and Eastern Europe,2015,52,5.889,0.59448,1.01528,0.61826,0.32818,0.20951,0.01615
54,Moldova,Central and Eastern Europe,2016,55,5.897,0.69177,0.83132,0.52309,0.25202,0.19997,0.01903
55,Moldova,Central and Eastern Europe,2017,56,5.83799982070923,0.728870630264282,1.25182557106018,0.589465200901031,0.240729048848152,0.208779126405716,0.0100912861526012
66,Moldova,Central and Eastern Europe,2018,67,5.64,0.657,1.301,0.62,0.232,0.171,0.0
70,Moldova,Central and Eastern Europe,2019,71,5.529,0.685,1.328,0.739,0.245,0.181,0.0
99,Mongolia,Eastern Asia,2015,100,4.874,0.82819,1.3006,0.60268,0.43626,0.3323,0.02666
100,Mongolia,Eastern Asia,2016,101,4.907,0.98853,1.08983,0.55469,0.35972,0.34539,0.03285
99,Mongolia,Eastern Asia,2017,100,4.95499992370605,1.02723586559296,1.4930112361908,0.557783484458923,0.394143968820572,0.338464230298996,0.0329022891819477
93,Mongolia,Eastern Asia,2018,94,5.125,0.914,1.517,0.575,0.395,0.253,0.032
82,Mongolia,Eastern Asia,2019,83,5.285,0.948,1.531,0.667,0.317,0.235,0.038
82,Montenegro,Central and Eastern Europe,2015,82,5.192,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296
87,Montenegro,Central and Eastern Europe,2016,88,5.161,1.07838,0.74173,0.63533,0.15111,0.17191,0.12721
82,Montenegro,Central and Eastern Europe,2017,83,5.23699998855591,1.12112903594971,1.23837649822235,0.667464673519135,0.194989055395126,0.197911024093628,0.0881741940975189
80,Montenegro,Central and Eastern Europe,2018,81,5.347,1.017,1.279,0.729,0.259,0.111,0.081
72,Montenegro,Central and Eastern Europe,2019,73,5.523,1.051,1.361,0.871,0.197,0.142,0.08
91,Morocco,Middle East and Northern Africa,2015,92,5.013,0.73479,0.64095,0.60954,0.41691,0.07172,0.08546
89,Morocco,Middle East and Northern Africa,2016,90,5.151,0.84058,0.38595,0.59471,0.25646,0.04053,0.08404
83,Morocco,Middle East and Northern Africa,2017,84,5.2350001335144,0.878114581108093,0.774864435195923,0.59771066904068,0.408158332109451,0.0322099551558495,0.0877631828188896
84,Morocco,Middle East and Northern Africa,2018,85,5.254,0.779,0.797,0.669,0.46,0.026,0.074
88,Morocco,Middle East and Northern Africa,2019,89,5.208,0.801,0.782,0.782,0.418,0.036,0.076
